epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,235.112,1.06916,0.67122,1.14334,0.27368,0.28655,0.25771,0.09983,2.29927,2.4602,1.95346,0.0084655,0.0084655,0.0084655
157,236.702,1.10158,0.65537,1.06489,0.49188,0.13158,0.20916,0.08102,2.60686,3.03545,2.23044,0.0084556,0.0084556,0.0084556
158,238.39,1.08216,0.71575,1.1509,0.49188,0.13158,0.20916,0.08102,2.60686,3.03545,2.23044,0.0084457,0.0084457,0.0084457
159,239.975,1.03383,0.65312,1.0796,0.24985,0.21029,0.24716,0.11535,2.1296,2.14968,1.85191,0.0084358,0.0084358,0.0084358
160,241.56,0.94029,0.58537,1.01198,0.24985,0.21029,0.24716,0.11535,2.1296,2.14968,1.85191,0.0084259,0.0084259,0.0084259
161,242.431,1.00193,0.60717,1.05961,0.22298,0.23684,0.24708,0.11463,2.29654,2.22967,2.00145,0.008416,0.008416,0.008416
162,243.572,1.0921,0.69354,1.12353,0.22298,0.23684,0.24708,0.11463,2.29654,2.22967,2.00145,0.0084061,0.0084061,0.0084061
163,244.651,1.01194,0.62323,1.05632,0.26913,0.26316,0.28141,0.13777,2.31017,2.21293,2.06529,0.0083962,0.0083962,0.0083962
164,245.369,1.14593,0.68628,1.14133,0.26913,0.26316,0.28141,0.13777,2.31017,2.21293,2.06529,0.0083863,0.0083863,0.0083863
165,247.101,1.05359,0.63492,1.07248,0.32272,0.21053,0.26426,0.10547,2.53731,2.17651,2.26344,0.0083764,0.0083764,0.0083764
166,248.801,1.00658,0.61585,1.07836,0.32272,0.21053,0.26426,0.10547,2.53731,2.17651,2.26344,0.0083665,0.0083665,0.0083665
167,250.377,0.93413,0.5908,1.06188,0.32272,0.21053,0.26426,0.10547,2.53731,2.17651,2.26344,0.0083566,0.0083566,0.0083566
168,251.981,1.05479,0.60367,1.09816,0.32714,0.21053,0.24629,0.1172,2.485,2.18263,2.14182,0.0083467,0.0083467,0.0083467
169,253.57,1.05772,0.66668,1.04392,0.32714,0.21053,0.24629,0.1172,2.485,2.18263,2.14182,0.0083368,0.0083368,0.0083368
170,255.149,1.01499,0.66118,1.07837,0.3557,0.23684,0.27134,0.12532,2.37089,2.02132,2.08358,0.0083269,0.0083269,0.0083269
171,256.728,0.93488,0.57855,1.03227,0.3557,0.23684,0.27134,0.12532,2.37089,2.02132,2.08358,0.008317,0.008317,0.008317
172,258.434,1.07093,0.59444,1.11537,0.2761,0.23684,0.25484,0.11533,2.5081,2.31744,2.14541,0.0083071,0.0083071,0.0083071
173,260.142,1.0733,0.60381,1.09086,0.2761,0.23684,0.25484,0.11533,2.5081,2.31744,2.14541,0.0082972,0.0082972,0.0082972
174,261.745,1.06338,0.62524,1.10183,0.32601,0.26316,0.28973,0.12092,2.39995,2.04631,2.09753,0.0082873,0.0082873,0.0082873
175,263.321,0.8854,0.55468,1.00639,0.32601,0.26316,0.28973,0.12092,2.39995,2.04631,2.09753,0.0082774,0.0082774,0.0082774
176,264.918,1.0204,0.59958,1.0452,0.28478,0.28947,0.27059,0.12176,2.39044,2.19178,2.06898,0.0082675,0.0082675,0.0082675
177,266.497,1.06015,0.63361,1.07095,0.28478,0.28947,0.27059,0.12176,2.39044,2.19178,2.06898,0.0082576,0.0082576,0.0082576
178,268.103,0.9594,0.5966,1.03864,0.35222,0.21053,0.24547,0.10216,2.46335,1.9466,2.1287,0.0082477,0.0082477,0.0082477
